Beetle Number,Survival Status,Treatment Status
1,1,Control
2,0,Control
3,0,Control
4,0,Control
5,0,Control
6,0,Control
7,1,Control
8,0,Control
9,1,Control
10,0,Control
11,1,0.25mg
12,0,0.25mg
13,0,0.25mg
14,0,0.25mg
15,0,0.25mg
16,1,0.25mg
17,0,0.25mg
18,0,0.25mg
19,0,0.25mg
20,0,0.25mg
21,1,1mg
22,0,1mg
23,0,1mg
24,1,1mg
25,0,1mg
26,1,1mg
27,0,1mg
28,0,1mg
29,0,1mg
30,0,1mg
31,0,4mg
32,1,4mg
33,0,4mg
34,0,4mg
35,1,4mg
36,1,4mg
37,1,4mg
38,0,4mg
39,0,4mg
40,0,4mg
41,1,4mg
42,0,4mg
43,0,4mg
44,1,4mg
